ID;City;Place names;Place names;Latitude;Longitude;A;C;E;H;N;R;SP;S   H;B;L
1;Baghdad;Kadhimiya kindergarten;«·—Ê÷… «·ﬂ«Ÿ„Ì…;33.379507;44.339878;;1;;;;1;;;;
2;Baghdad;the aquatic city;«·„œÌ‰… «·„«∆Ì…;33.252217;44.495281;1;;;;;;1;;;
3;Baghdad;Mosque and shrine of Imam Abu Hanifa Noman;Ã«„⁄ Ê„—ﬁœ «·≈„«„ √»Ê Õ‰Ì›… «·‰⁄„«‰;33.371865;44.358385;;1;;;;1;;;;
4;Baghdad;Bartha Mosque;Ã«„⁄ »—«À«;33.351238;44.361236;;1;;;;1;;;;
5;Baghdad;Mosque and shrine of Sheikh Abdul Qadir Kilani;Ã«„⁄ Ê„—ﬁœ «·‘ÌŒ ⁄»œ «·ﬁ«œ— «·ﬂÌ·«‰Ì;33.33788;44.410124;;1;;;;1;;;;
6;Baghdad;Mosque of the Caliphs;Ã«„⁄ «·Œ·›«¡;33.338887;44.397739;;1;;;;1;;;;
7;Baghdad;Al Zawra Park;„ ‰“Â «·“Ê—«¡;33.314855;44.377068;1;1;;;1;;1;;;1
8;Baghdad;Al Mustansiriya School;«·„œ—”… «·„” ‰’—Ì…;33.338494;44.389989;;1;;;;;;;;
9;Baghdad;The Abbasid palace;«·ﬁ’— «·⁄»«”Ì;33.342913;44.38353;;1;;;;;;;;
10;Baghdad;Al Qashla Building;„»‰Ï «·ﬁ‘·…;33.341267;44.386225;;1;;;;;;;;
11;Baghdad;The Baghdadi Museum;«·„ Õ› «·»€œ«œÌ;33.34022;44.389768;;1;;;;;;;;
12;Baghdad;Natural History Museum;„ Õ› «· «—ÌŒ «·ÿ»Ì⁄Ì;33.354717;44.392675;;1;;;1;;;;;
13;Baghdad;The Island of Baghdad;Ã“Ì—… »€œ«œ;33.443686;44.343758;1;;1;;1;;1;;;1
14;Baghdad;amusement park  of Sinbad;„œÌ‰Â «·⁄«» «·”‰œ»«œ;33.278072;44.311123;1;;1;;1;;1;;;1
15;Baghdad;Wall of Baghdad;”Ê— »€œ«œ;33.340998;44.412757;;1;;;;;;;;
16;Baghdad;Aqraqof;⁄ﬁ—ﬁÊ›;33.353535;44.202124;;1;;;;;;;;
17;Baghdad;Al Shaab International Stadium;„·⁄» «·‘⁄» «·œÊ·Ì;33.324922;44.43547;;;;;;;1;;;
18;Baghdad;Iraqi National Theater;«·„”—Õ «·Êÿ‰Ì «·⁄—«ﬁÌ;33.303843;44.432322;;;;;;;;;;1
19;Baghdad;Abu Nawas Park;„ ‰“Â «»Ê ‰ƒ«”;33.312993;44.417574;;;;;1;;1;;;1
20;Baghdad;Cornish of Adhamiya;ﬂÊ—‰Ì‘ «·«⁄Ÿ„Ì…;33.364252;44.369969;;;;;1;;1;;;1
21;Baghdad;Hill of Hermel; · Õ—„·;33.323218;44.482462;;1;;;;;;;;
22;Baghdad;Al-Mada'in;«·„œ«∆‰;33.098498;44.581211;;1;;;;1;;;;
23;Baghdad;Baghdad Mall;„Ê· »€œ«œ;33.311676;44.364601;;;;;;;;1;1;1
24;Baghdad;Al Mansour Mall;„Ê· «·„‰’Ê—;33.316956;44.354618;;;;;;;;1;1;1
25;Baghdad;Nakheel Mall;«·‰ŒÌ· „Ê·;33.344168;44.434711;;;;;;;;1;1;1
26;Baghdad;Zayouna Mall;“ÌÊ‰… „Ê·;33.332125;44.452262;;;;;;;;1;1;1
27;Baghdad;The Monument to the Unknown Soldier;‰’» «·Ã‰œÌ «·„ÃÂÊ·;33.308599;44.389207;;1;;;;;;;;
28;Baghdad;Victory Arch;ﬁÊ” «·‰’—;33.305251;44.386446;;1;;;;;;;;
29;Baghdad;Al-Shaheed Monument;‰’» «·‘ÂÌœ;33.34343;44.446017;;1;;;;;;;;
